folder,input_size,eps,delta,test,max_depth,avg_depth,min_depth,max_variables,avg_variables,min_variables,number_of_paths,number_of_outputs,max_conditions,avg_conditions,min_conditions,time_all,output_all,time_single,output_single
svt_laplace_max,1,0.5,0.01,example_1.dip,2,2,2,2,2,2,2,2,1,1,1,1.3069109916687012,"{ ""DP"": 1}",1.3156993389129639,"{ ""DP"": 1}"
svt_mix1_max,18,0.5,0.01,example_18.dip,3,2.8947368421052633,2,19,10.947368421052632,2,19,19,18,9.947368421052632,1,TIMEOUT,N/A,413.47487624486286,"{ ""DP"": 1}"
svt_mix1_max,8,0.5,0.01,example_8.dip,3,2.7777777777777777,2,9,5.888888888888889,2,9,9,8,4.888888888888889,1,TIMEOUT,N/A,46.015263636906944,"{ ""DP"": 1}"
svt_mix1_max,9,0.5,0.01,example_9.dip,3,2.8,2,10,6.4,2,10,10,9,5.4,1,TIMEOUT,N/A,62.467450300852455,"{ ""DP"": 1}"
svt_mix1_max,16,0.5,0.01,example_16.dip,3,2.8823529411764706,2,17,9.941176470588236,2,17,17,16,8.941176470588236,1,TIMEOUT,N/A,319.2613900502522,"{ ""DP"": 1}"
svt_mix1_max,4,0.5,0.01,example_4.dip,3,2.6,2,5,3.8,2,5,5,4,2.8,1,86.79811676343282,"{ ""DP"": 1}",12.319146315256754,"{ ""DP"": 1}"
svt_mix1_max,5,0.5,0.01,example_5.dip,3,2.6666666666666665,2,6,4.333333333333333,2,6,6,5,3.3333333333333335,1,259.24148019154865,"{ ""DP"": 1}",17.245038986206055,"{ ""DP"": 1}"
svt_mix1_max,17,0.5,0.01,example_17.dip,3,2.888888888888889,2,18,10.444444444444445,2,18,18,17,9.444444444444445,1,TIMEOUT,N/A,348.41015521685284,"{ ""DP"": 1}"
svt_mix1_max,15,0.5,0.01,example_15.dip,3,2.875,2,16,9.4375,2,16,16,15,8.4375,1,TIMEOUT,N/A,257.1615318457286,"{ ""DP"": 1}"
svt_mix1_max,7,0.5,0.01,example_7.dip,3,2.75,2,8,5.375,2,8,8,7,4.375,1,TIMEOUT,N/A,34.02835496266683,"{ ""DP"": 1}"
svt_mix1_max,6,0.5,0.01,example_6.dip,3,2.7142857142857144,2,7,4.857142857142857,2,7,7,6,3.857142857142857,1,TIMEOUT,N/A,23.841967900594074,"{ ""DP"": 1}"
