folder,input_size,time_single,eps,delta,test,max_depth,avg_depth,min_depth,max_variables,avg_variables,min_variables,number_of_paths,number_of_outputs,max_conditions,avg_conditions,min_conditions,time_all,output_all,output_single
svt,24,TIMEOUT,0.5,0.001,example_24.dip,3,2.92,2,25,13.96,2,25,25,24,12.96,1,3.498082717259725,,N/A
svt,18,TIMEOUT,0.5,0.001,example_18.dip,3,2.8947368421052633,2,19,10.947368421052632,2,19,19,18,9.947368421052632,1,2.923922300338745,,N/A
svt,8,222.71341037750244,0.5,0.001,example_8.dip,3,2.7777777777777777,2,9,5.888888888888889,2,9,9,8,4.888888888888889,1,TIMEOUT,N/A,"{ ""DP"": 1}"
svt,9,299.41492557525635,0.5,0.001,example_9.dip,3,2.8,2,10,6.4,2,10,10,9,5.4,1,TIMEOUT,N/A,"{ ""DP"": 1}"
svt,16,TIMEOUT,0.5,0.001,example_16.dip,3,2.8823529411764706,2,17,9.941176470588236,2,17,17,16,8.941176470588236,1,2.188291072845459,,N/A
svt,4,31.67953896522522,0.5,0.001,example_4.dip,3,2.6,2,5,3.8,2,5,2,4,2.8,1,256.0863902568817,"{ ""DP"": -1}","{ ""DP"": -1}"
svt,5,60.83261728286743,0.5,0.001,example_5.dip,3,2.6666666666666665,2,6,4.333333333333333,2,6,6,5,3.3333333333333335,1,TIMEOUT,N/A,"{ ""DP"": 1}"
svt,17,TIMEOUT,0.5,0.001,example_17.dip,3,2.888888888888889,2,18,10.444444444444445,2,18,18,17,9.444444444444445,1,2.549055894215902,,N/A
svt,15,TIMEOUT,0.5,0.001,example_15.dip,3,2.875,2,16,9.4375,2,16,16,15,8.4375,1,2.3482069174448648,,N/A
svt,7,139.43876934051514,0.5,0.001,example_7.dip,3,2.75,2,8,5.375,2,8,8,7,4.375,1,TIMEOUT,N/A,"{ ""DP"": 1}"
svt,6,103.0538026491801,0.5,0.001,example_6.dip,3,2.7142857142857144,2,7,4.857142857142857,2,7,7,6,3.857142857142857,1,TIMEOUT,N/A,"{ ""DP"": 1}"
svt,14,TIMEOUT,0.5,0.001,example_14.dip,3,2.8666666666666667,2,15,8.933333333333334,2,15,15,14,7.933333333333334,1,2.590043067932129,,N/A
svt,10,436.1108595530192,0.5,0.001,example_10.dip,3,2.8181818181818183,2,11,6.909090909090909,2,11,11,10,5.909090909090909,1,2.583676894505819,,"{ ""DP"": 1}"
svt,2,4.657362858454387,0.5,0.001,example_2.dip,3,2.3333333333333335,2,3,2.6666666666666665,2,3,3,2,1.6666666666666667,1,7.288081884384155,"{ ""DP"": 1}","{ ""DP"": 1}"
svt,3,15.67619792620341,0.5,0.001,example_3.dip,3,2.5,2,4,3.25,2,4,4,3,2.25,1,51.00059429804484,"{ ""DP"": -1}","{ ""DP"": -1}"
svt,11,506.06818691889447,0.5,0.001,example_11.dip,3,2.8333333333333335,2,12,7.416666666666667,2,12,12,11,6.416666666666667,1,2.2061263720194497,,"{ ""DP"": 1}"
svt,13,TIMEOUT,0.5,0.001,example_13.dip,3,2.857142857142857,2,14,8.428571428571429,2,14,14,13,7.428571428571429,1,2.2934412956237793,,N/A
svt,1,2.328233242034912,0.5,0.001,example_1.dip,2,2,2,2,2,2,2,2,1,1,1,2.556623379389445,"{ ""DP"": 1}","{ ""DP"": 1}"
svt,12,TIMEOUT,0.5,0.001,example_12.dip,3,2.8461538461538463,2,13,7.923076923076923,2,13,13,12,6.923076923076923,1,2.2836076418558755,,N/A
svt_max,23,TIMEOUT,0.5,0.001,example_23.dip,3,2.9166666666666665,2,24,13.458333333333334,2,24,24,23,12.458333333333334,1,2.839772621790568,,N/A
svt_max,3,2.123565196990967,0.5,0.001,nonprivate_example_3.dip,2,1.5,1,4,3.25,2,4,4,3,2.25,1,2.511032978693644,"{ ""DP"": -1}","{ ""DP"": 1}"
svt_max,2,2.2187376817067466,0.5,0.001,nonprivate_example_2.dip,2,1.3333333333333333,1,3,2.6666666666666665,2,3,3,2,1.6666666666666667,1,2.030600150426229,"{ ""DP"": -1}","{ ""DP"": 1}"
svt_max,22,TIMEOUT,0.5,0.001,example_22.dip,3,2.9130434782608696,2,23,12.956521739130435,2,23,23,22,11.956521739130435,1,2.2850343386332193,,N/A
svt_max,20,TIMEOUT,0.5,0.001,example_20.dip,3,2.9047619047619047,2,21,11.952380952380953,2,21,21,20,10.952380952380953,1,2.8438568909962973,,N/A
svt_max,21,TIMEOUT,0.5,0.001,example_21.dip,3,2.909090909090909,2,22,12.454545454545455,2,22,22,21,11.454545454545455,1,2.946528116861979,,N/A
